Purchase Date,Purchase Year,Title,Author,Amazon Purchase Number (2010=1),,,,,,,
,2011,Eyes Mind Bridget Riley,Robert Kudielka,69,art,,,,,,
,2011,Who Governs?: Democracy and Power in the American City (Yale Studies in Political Science),Professor Robert A. Dahl,70,academic,sociology,,,,,
,2011,"Rereading America: Cultural Contexts for Critical Thinking and Writing, Fifth Edition","Gary Colombo, et al",71,teaching,,,,,,
,2011,"Actual Minds, Possible Worlds (Jerusalem-Harvard Lectures)",Jerome Bruner,72,academic,psychology,narrative,,,,
,2011,"The Price of the Ticket: Collected Nonfiction, 1948-1985",James Baldwin,73,fiction,,,,,,
,2011,No Name in the Street,James Baldwin,74,fiction,,,,,,
,2011,American Roots Music (Based on the PBS Television Series),"Robert Santelli, Bonnie Raitt",75,teaching,,,,,,
,2011,Demotic Greek II: The Flying Telephone Booth (Pt. 2),"Peter Bien, et al",76,teaching,,,,,,
,2011,Going to Meet the Man,James Baldwin,77,fiction,,,,,,
,2011,The Most Wonderful Books: Writers on Discovering the Pleasures of Reading,"Michael Dorris, Emilie Buchwald",78,teaching,,,,,,
,2011,A Computer Perspective,"Charles Eames, et al",79,architecture,,,,,,
,2011,Consider the Oyster,M. F. K. Fisher,80,food,,,,,,
,2011,A Natural History of Pragmatism: The Fact of Feeling from Jonathan Edwards to Gertrude Stein (Cambridge Studies in American Literature and Culture),Joan Richardson,81,academic,literary criticism,,,,,
,2011,Eugenie Grandet (Penguin Classics),"Honor̩ de Balzac, Marion Ayton Crawford",82,fiction,,,,,,
,2011,"Much Depends on Dinner: The Extraordinary History and Mythology, Allure and Obsessions, Perils and Taboos, of an Ordinary Meal",Margaret Visser,83,food,,,,,,
,2011,Meaning Of Meaning,"C. K. Ogden, I. A. Richards",84,academic,literary criticism,linguistics,,,,
,2011,WORDS AND THINGS,Roger Brown,85,academic,linguistics,,,,,
,2011,Why Does E=mc2?: (And Why Should We Care?),"Brian Cox, Jeff Forshaw",86,essays,,,,,,
,2011,Eyes Mind Bridget Riley,Robert Kudielka,87,art,,,,,,
,2011,Great Flower Books 1700-1900,Sacheverell Sitwell,88,books,,,,,,
,2011,Birds: Mini Edition: The Art of Ornithology,"Jonathan Elphick, Dr. Robert Prys-Jones",89,science,birds,,,,,
,2011,Unequal Democracy: The Political Economy of the New Gilded Age,Larry M. Bartels,90,academic,political economy,,,,,
,2011,"Communication Theories: Perspectives, Processes, and Contexts",Katherine Miller,91,academic,communication studies,,,,,
,2012,The Sense of an Ending: Studies in the Theory of Fiction (with a New Epilogue),Frank Kermode,92,academic,literary criticism,,,,,
,2012,All We Know: Three Lives,Lisa Cohen,93,academic,literary criticism,,,,,
,2012,Anatomy of Criticism: Four Essays,Northrop Frye,94,academic,literary criticism,,,,,
,2012,Mimesis: The Representation of Reality in Western Literature,"Erich Auerbach, Willard R. Trask",95,academic,literary criticism,,,,,
,2012,The Purposeful Writer: A Rhetoric with Readings,Donna Gorrell,96,teaching,,,,,,
,2012,Woman As Writer,Jeannette L. Webber,97,academic,womens studies,,,,,
,2012,The Artist's Way Every Day: A Year of Creative Living,Julia Cameron,98,teaching,,,,,,
,2012,Bird by Bird: Some Instructions on Writing and Life,Anne Lamott,99,teaching,,,,,,
,2012,Incidents in the Life of a Slave Girl (Schomburg Library of Nineteenth-Century Black Women Writers),"Harriet Jacobs, Valerie Smith",100,teaching,,,,,,
,2012,Writing Women's Lives: An Anthology of Autobiographical Narratives by Twentieth-Century American Women Writers,Susan Cahill,101,academic,womens studies,,,,,
,2012,Hyper/Text/Theory,George P. Landow,102,academic,technology,media,,,,
,2012,Page to Screen: Taking Literacy into the Electronic Era,Ilana Snyder,103,academic,technology,media,,,,
,2012,Criticism And Truth,Ronald Barthes,104,academic,literary criticism,,,,,
,2012,Literature As Exploration,"Louise M. Rosenblatt, James R. Squire",105,academic,literary criticism,,,,,
,2012,Universal Grammar and Narrative Form (Sound and Meaning: The Roman Jakobson Series in Linguistics and Poetics),David Herman,106,academic,literary criticism,,,,,
,2012,Fantastic Tales: Visionary and Everyday,Italo Calvino,107,fiction,,,,,,
,2012,Elements of Semiology,"Roland Barthes, et al",108,academic,literary criticism,,,,,
,2012,Spoken and Written Language (Language Education),"M. A. K. Halliday, Frances Christie",109,academic,linguistics,,,,,
,2012,Communication: The Study of Human Interaction,C. David Mortensen,110,academic,communication studies,,,,,
,2012,The Preparation of the Novel: Lecture Courses and Seminars at the Coll̬ge de France (1978-1979 and 1979-1980) (European Perspectives: A Series in S,Roland Barthes,111,academic,literary criticism,,,,,
,2012,The Making of the English Landscape,W. G. Hoskins,112,architecture,,,,,,
,2012,Contents Dream (Sun and Moon Classics),Charles Bernstein,113,poetry,,,,,,
,2012,The Art of Telling: Essays on Fiction,Frank Kermode,114,academic,literary criticism,,,,,
