Purchase Date,Purchase Year,Title,Author,Amazon Purchase Number (2010=1),,,,,,,
,2013,"The Structures of Everyday Life: Civilization and Capitalism, 15th-18th Century Volume 1","Braudel, Fernand",272,academic,history,,,,,
,2013,Ralph Ellison and Kenneth Burke: At the Roots of the Racial Divide (American Literatures Initiative),"Crable, Bryan",273,fiction,,,,,,
,2013,Donald Barthelme: The Genesis of a Cool Sound (Tarleton State University Southwestern Studies in the Humanities),"Barthelme, Helen Moore",274,fiction,,,,,,
,2013,"The Territory of Language: Linguistics, Stylistics, and the Teaching of Composition","McQuade, Professor Donald A.",275,academic,rhetoric,,,,,
,2013,"Patterns of Language; Papers in general, descriptive, and applied linguistics (Indiana University studies in the history and theory of linguistics)",Angus McIntosh,276,academic,linguistics,,,,,
,2013,Concepts in Composition: Theory and Practice in the Teaching of Writing,"Clark, Irene L.",277,academic,rhetoric,,,,,
,2013,Language and Education: Volume 9 (Collected Works M A Halliday),"Halliday, M.A.K.",278,academic,linguistics,,,,,
,2013,Linguistic Studies of Text and Discourse (Collected Works M A Halliday),"Halliday, M.A.K.",279,academic,linguistics,,,,,
,2013,On Language and Linguistics: Volume 3 (Collected Works M A Halliday),"Halliday, M.A.K.",280,academic,linguistics,,,,,
,2013,On Grammar: Volume 1 (Collected Works M A Halliday),"Halliday, M.A.K.",281,academic,linguistics,,,,,
,2013,The Linguistic Sciences and Language Teaching,"halliday, michael",282,academic,linguistics,,,,,
,2014,Can You Feel Anything When I Do This?,Robert Sheckley,283,childrens,,,,,,
,2014,Keywords: A Vocabulary of Culture and Society,"Williams, Raymond",284,academic,literary criticism,,,,,
,2014,Robot Dreams (Remembering Tomorrow),"Asimov, Isaac",285,science fiction,,,,,,
,2014,Mindscapes: The Geographies of Imagined Worlds (Alternatives),"Slusser PhD, Adjunct Professor George E",286,science fiction,,,,,,
,2014,"Slusser PhD, Adjunct Professor George E",,287,,,,,,,
,2014,Coordinates: Placing Science Fiction and Fantasy (Alternatives),,288,science fiction,,,,,,
,2014,The Ascent of Wonder: The Evolution of Hard SF,"Hartwell, David G.",289,science fiction,,,,,,
,2014,Instant: The Story of Polaroid,"Bonanos, Christopher",290,photography,,,,,,
,2014,A Reader for Writers,Jerome W. Archer & Joseph Schwartz,291,teaching,,,,,,
,2014,How to Suppress Women's Writing,"Russ, Joanna",292,science fiction,,,,,,
,2014,The Book of Fantasy,"Borges, Jorge Luis",293,fiction,,,,,,
,2014,Historic Hotels of Texas: A Traveler's Guide (Txam Travel Guides),"Carmack, Liz",294,travel,gave away,,,,,
,2014,"Living within Limits: Ecology, Economics, and Population Taboos","Hardin, Garrett",295,academic,ecology,,,,,
,2014,Towards a new architecture,Le Corbusier,296,architecture,,,,,,
,2014,This Craft of Verse (Charles Eliot Norton Lectures),Jorge Luis Borges,297,fiction,,,,,,
,2014,Cat Dreams,"Le Guin, Ursula K.",298,science fiction,,,,,,
,2014,Steering the Craft: Exercises and Discussions on Story Writing for the Lone Navigator or the Mutinous Crew,"Le Guin, Ursula K.",299,science fiction,,,,,,
,2014,The Language of the Night: Essays on Fantasy and Science Fiction,"Le Guin, Ursula K.",300,science fiction,,,,,,
,2014,Our Angry Earth,"Asimov, Isaac",301,science fiction,,,,,,
,2014,The Way The Future Was: A Memoir,"Pohl, Frederik",302,science fiction,,,,,,
,2014,I See What You Mean,"Moline, Steve",303,teaching,,,,,,
,2014,...Lectures in America,"Stein, Gertrude",304,fiction,,,,,,
,2014,"The Rhetorical Act: Thinking, Speaking, and Writing Critically (with InfoTracÂ®) (Wadsworth Series in Speech Communication)","Campbell, Karlyn Kohrs",305,teaching,,,,,,
,2014,Buffalo Architecture: A Guide,"Banham, Reyner",306,architecture,,,,,,
,2014,First Indian on the Moon,"Alexie, Sherman",307,fiction,,,,,,
,2014,Technology and Literacy in the 21st Century: The Importance of Paying Attention (Studies in Writing and Rhetoric),"Selfe, Cynthia L.",308,teaching,,,,,,
,2014,Reading for Understanding,Ruth Schoenbach,309,teaching,,,,,,
,2014,Building Academic Literacy: An Anthology for Reading Apprenticeship,"Fielding, Audrey",310,teaching,,,,,,
,2014,Reclaiming the Imagination,"Berthoff, Ann E",311,teaching,,,,,,
,2014,Hanne Darboven: Cultural History 1880--1983 (AFTERALL),"Adler, Dan",312,art,,,,,,
,2014,Hanne Darboven.,"De Vries, Gerd. (editor)",313,art,,,,,,
,2014,"Gramophone, Film, Typewriter (Writing Science)","Kittler, Friedrich",314,academic,technology,media,,,,
,2014,Esthetics Contemporary,Richard Kostelanetz,315,art,aesthetics,,,,,
,2014,Languages of Art,"Goodman, Nelson",316,academic,philosophy,,,,,
,2014,To look at the sea is to become what one is: An Etel Adnan Reader (2 Vol. Set),"Adnan, Etel",317,poetry,,,,,,
,2014,The Gutenberg Galaxy: The Making of Typographic Man,Marshall McLuhan,318,academic,technology,media,,,,
,2014,Take today; the executive as dropout,"McLuhan, Marshall",319,academic,technology,media,sold,,,
,2014,Understanding Media: The Extensions of Man,"McLuhan, Marshall",320,academic,technology,media,,,,
,2014,Through the Vanishing Point: Space in Poetry and Painting,Marshall McLuhan,321,academic,technology,media,,,,
,2014,"Media Research: Technology, Art and Communication (Critical Voices in Art, Theory and Culture)","McLuhan, Marshall",322,academic,technology,media,,,,
,2014,The Medium is the Massage: An Inventory of Effects,Marshall McLuhan,323,academic,technology,media,,,,
,2014,The Global Village: Transformations in World Life and Media in the 21st Century (Communication & Society),"McLuhan, Marshall",324,academic,technology,media,,,,
,2014,The Global Village: Transformations in World Life and Media in the 21st Century,"McLuhan, Marshall",325,academic,technology,media,,,,
,2014,Reading Science: Critical and Functional Perspectives on Discourses of Science,"Martin, J.R.",326,teaching,,,,,,
,2014,The Lines (Yale University Art Gallery),"Ranney, Edward",327,art,,,,,,
,2014,Land/Art: New Mexico,"Lippard, Lucy",328,art,,,,,,
,2014,"Lucy Lippard: 4,492,040","Lippard, Lucy",329,art,,,,,,
,2014,Three lives,Gertrude Stein,330,fiction,,,,,,
,2014,Gertrude Stein on Picasso.,"Stein, Gertrude",331,fiction,,,,,,
,2014,Gertrude Stein,"Sutherland, Donald",332,fiction,,,,,,
,2014,Everybody's Authobiography,"Stein, Gertrude",333,fiction,,,,,,
,2014,A House for Everyone,Betty Miles,334,childrens,,,,,,
,2014,Save the Earth,"Miles, Betty",335,childrens,,,,,,
,2014,The World in 1968; History as We Lived It,associated press,336,illustrated,photography,,,,,
,2014,"The Gutenberg Galaxy: The Making of Typographic Man 1st (first) Edition by McLuhan, Marshall [1962]","McLuhan, Marshall",337,academic,technology,media,,,,
,2014,The Mechanical Bride: Folklore of Industrial Man,,338,academic,technology,media,,,,
,2014,Mechanical Bride. 1970 reprint of 1967 Edition,"McLuhan, Marshall",339,academic,technology,media,,,,
,2014,Vision in Motion,"Moholy-Nagy, Laszlo",340,art,,,,,,
,2014,Thirteen,Remy Charlip,341,childrens,,,,,,
,2014,David's Little Indian,"Brown, Margaret Wise",342,childrens,,,,,,
,2014,A Day of Winter,Betty Miles,343,childrens,,,,,,
,2014,"Just think,","Miles, Betty",344,childrens,,,,,,
,2014,Six Years: The Dematerialization of the Art Object from 1966 to 1972,"Lippard, Lucy (ed.)",345,art,,,,,,
,2014,Changing,"Lippard, Lucy R.",346,art,,,,,,
,2014,How to Lie with Maps,"Monmonier, Mark",347,academic,cartography,,,,,
,2014,The Photographer and the American Landscape,"Szarkowski, John (editor)",348,art,photography,,,,,
,2014,Harry Callahan,Harry Callahan,349,art,photography,,,,,
,2014,U. S. Camera Annual 1939,Edward Steichen,350,art,photography,,,,,
,2014,Jan Tschichold: A Life in Typography,"McLean, Ruari",351,art,typography,,,,,
,2014,It Looks Like Snow,"Charlip, Remy",352,childrens,,,,,,
,2014,Reading Images: The Grammar of Visual Design,,353,,,,,,,
,2014,Winds.,"Perse, St.-John.",354,poetry,,,,,,
,2014,u. s. camera annual 1964 [featuring marilyn monroe photographed by bert stern],"maloney, tom",355,art,photography,,,,,
,2014,Open House for Butterflies,"Krauss, Ruth",356,childrens,,,,,,
,2014,"Best in Children's Books Volume 33: Marco Polo's Travels, Unknown World, Favorite Mother Goose Rhymes, Shawneen & the Gander, Andrew Jackson, Sophocle",Roger Duvoisin,357,illustrated,children,andy warhol,,,,
,2014,Harry Callahan: Retrospective,"Luckow, Dirk",358,art,photography,,,,,
,2014,Bee Time Vine And Other Pieces (1913 to 1927),Gertrude Stein,359,fiction,,,,,,
,2014,Wars I Have Seen A first-hand report of four years of Nazi rule in France and th,Gertrude Stein,360,fiction,,,,,,
,2014,Mother Mother I Feel Sick Send for The Doctor Quick Quick Quick,Remy Charlip and Burton Supree,361,childrens,,,,,,
,2014,Four Fur Feet,Brown,362,childrens,,,,,,
,2014,"Peanut Butter Party: Including the History, Uses, and Future of Peanut Butter","Charlip, Remy",363,childrens,,,,,,
,2014,"Tree Angel, The","Martin, Judith",364,childrens,,,,,,
,2014,David's Little Indian,"Brown, Margaret Wise",365,childrens,,,,,,
,2014,A Mile Beyond the Moon [A COLLECTION OF IMAGINATIVE TALES],Cyril M. Kornbluth,366,science fiction,,,,,,
,2014,Eleanor,"Callahan, Harry M.",367,art,photography,,,,,
,2014,Harry Callahan,"Ny: Museum Of Modern Art, 1967",368,art,photography,,,,,
,2014,The dead bird,"Brown, Margaret Wise",369,childrens,,,,,,
,2014,Hooray for me!,"Charlip, Remy",370,childrens,,,,,,
,2014,I Love You,"Charlip, Remy",371,childrens,,,,,,
,2014,"Fortunately,","Charlip, Remy",372,childrens,,,,,,
,2014,The Life and Opinions of the Tomcat Murr (Penguin Classics),"Hoffmann, E. T. A.",373,fiction,,,,,,
,2014,"McLuhan, or Modernism in Reverse (Theory/Culture)","Willmott, Glenn",374,academic,technology,media,,,,
,2014,A day of summer,"Miles, Betty",375,childrens,,,,,,
,2014,Kaputt,Curzio Malaparte,376,fiction,,,,,,
,2014,The Nouveau Roman Reader (Contemporary French writers),"Fletcher, John",377,fiction,,,,,,
,2014,Surfiction: Fiction Now and Tomorrow,"Federman, Raymond",378,fiction,,,,,,
,2014,The Deaths of the Author: Reading and Writing in Time,,379,academic,literary criticism,,,,,
,2014,"Gallop, Jane",,380,,,,,,,
,2014,LÃ¡szlÃ_ Moholy-Nagy; an exhibition organized by the Museum of Contemporary Art and the Solomon R. Guggenheim Museum ... in cooperation with the S,"Moholy-Nagy, LÃ¡szlÃ_, and Museum of Contemporary Art (Chicago, Ill.),",381,architecture,,,,,,
,2014,L. Moholy-Nagy,"Moholy-Nagy, Laszlo",382,architecture,,,,,,
,2014,Moholy-Nagy Documentary Monographs in Modern Art,Richard Kostelanetz,383,architecture,,,,,,
,2014,A Perfect Day,"Charlip, Remy",384,childrens,,,,,,
,2014,"My very own special particular private and personal cat,","Stoddard, Sandol",385,childrens,,,,,,
,2014,Handtalk;: An ABC of finger spelling & sign language,,386,childrens,,,,,,
,2014,"Charlip, Remy",,387,,,,,,,
,2014,Baby Hearts and Baby Flowers,"Charlip, Remy",388,childrens,,,,,,
,2014,"THE CURIOUS LITTLE KITTEN, STORY BY BERNADINE COOK",PICTURES BY REMY CHARLIP,389,childrens,,,,,,
,2014,Collected Works of Ralph Waldo Emerson,"Emerson, Ralph Waldo",390,academic,philosophy,,,,,
,2014,The Open Handbook: Keys for Writers,"Raimes, Ann",391,teaching,,,,,,
,2014,The Prison-House of Language: A Critical Account of Structuralism and Russian Formalism,"Jameson, Fredric",392,academic,literary criticism,,,,,
,2014,"The Politics of Education: Culture, Power and Liberation",Paulo Freire,393,teaching,,,,,,
,2014,Essays in radical empiricism,"James, William",394,academic,philosophy,,,,,
,2014,"Principles of Psychology, Vol. 2","James, William",395,academic,philosophy,,,,,
,2014,The Will to Believe,William James,396,academic,philosophy,,,,,
,2014,Pragmatism (The Works of William James),"James, William",397,academic,philosophy,,,,,
,2014,"James, William",,398,,,,,,,
,2014,"The Principles of Psychology, Vols. 1-2 (2 Volumes in 1)","James, William",399,academic,philosophy,,,,,
,2014,William James: Selected Writings (Guides to Philosophy),"Yezzi, Ron",400,academic,philosophy,,,,,
,2014,The Meaning of Truth (The Works of William James),"James, William",401,academic,philosophy,,,,,
,2014,"Much Depends on Dinner: The Extraordinary History and Mythology, Allure and Obsessions, Perils and Taboos, of an Ordinary Meal","Visser, Margaret",402,food,,,,,,
,2014,Unstill Life: A Daughter's Memoir of Art and Love in the Age of Abstraction,"Selz, Gabrielle",403,essays,,,,,,
,2014,Leaving the Sea: Stories (Vintage Contemporaries),"Marcus, Ben",404,fiction,,,,,,
,2014,"Global Dimensions: Space, Place and the Contemporary World (Reaktion Books - Focus on Contemporary Issues)","Short, John Rennie",405,architecture,,,,,,
,2014,"New Worlds, New Geographies (Space, Place, and Society)","Short, John R.",406,architecture,,,,,,
,2014,Globalization & the City,"Short, John",407,architecture,,,,,,
,2014,"Imagined Country: Environment, Culture and Society","Short, John",408,architecture,,,,,,
,2014,Cities and Nature (Routledge Critical Introductions to Urbanism and the City),"Benton-Short, Lisa",409,architecture,,,,,,
,2014,On some of life's ideals,"James, William",410,academic,philosophy,,,,,
,2014,"The Principles of Psychology, Vol. 1","James, William",411,academic,philosophy,,,,,
,2014,"Happy Homes and the Hearts that Make Them, or, Thrifty People and Why They Thrive",Samuel Smiles,412,essays,self help,,,,,
,2014,Antonnia or The Fall of Rome (The Works of Wilkie Collins.Vol.17),Wilkie Collins,413,fiction,,,,,,
,2014,Design by Choice,Reyner Banham,414,architecture,,,,,,
,2014,"Painting, Photography, Film","Nagy, L.Moholy",415,art,,,,,,
,2014,"Rituals of Dinner: The Origins, Evolution, Eccentricities, and Meaning of Table Manners","Visser, Margaret",416,food,,,,,,
,2014,The Flame Alphabet,"Marcus, Ben",417,fiction,,,,,,
,2014,"The Geometry of Love: Space, Time, Mystery, and Meaning in an Ordinary Church","Visser, Margaret",418,essays,,,,,,
,2014,Notable American Women: A Novel,"Marcus, Ben",419,fiction,,,,,,
,2015,Native Genius in Anonymous Architecture,"Moholy-Nagy, Sibyl",420,architecture,,,,,,
,2015,Writing Systems: A Linguistic Introduction,"Sampson, Geoffrey",421,academic,linguistics,writing,,,,
,2015,Fifty-two pickup,"Leonard, Elmore",422,fiction,,,,,,
,2015,The Human Comedy; Being the Best Novels from the Comedie Humaine of Honore De Balzac; Volumes 1-3,Honore De Balzac; Julius Chambers,423,fiction,,,,,,
,2015,"The Master Builders. Le Corbusier, Mies VanDer Rohe, Frank Lloyd Wright","Blake, Peter",424,architecture,,,,,,
,2015,Cuisines of Mexico,Diana Kennedy,425,cookbook,,,,,,
,2015,Mexican Regional Cooking,"Kennedy, Diana",426,cookbook,,,,,,
,2015,The Tortilla Book,"Kennedy, Diana",427,cookbook,,,,,,
,2015,Standing Still and Walking in New York,"O'HARA, Frank",428,poetry,,,,,,
,2015,Syntactic Structures,"Chomsky, Noam",429,academic,linguistics,,,,,
,2015,Il mare come artigiano. Ediz. italiana e inglese,Bruno Munari,430,illustrated,,,,,,
,2015,Bruno Munari: Drawing a Tree (About the Workshop Series),"Munari, Bruno",431,illustrated,,,,,,
,2015,Guardiamoci negli occhi-Look into my eyes,Bruno Munari,432,illustrated,,,,,,
,2015,ABC (Munari picture books),"Munari, Bruno",433,illustrated,,,,,,
,2015,Tomorrow's House: How To Plan Your Post-War Home Now,George Nelson,434,architecture,,,,,,
,2015,The Gray Cloth: A Novel on Glass Architecture,"Scheerbart, Paul",435,science fiction,,,,,,
,2015,Matrix of Man: An Illustrated History of Urban Environment.,"Moholy-Nagy, Sibyl.",436,architecture,,,,,,
,2015,Painting Toward Architecture: The Miller Company Collection of Abstract Art,"Hitchcock, Henry-Russell",437,art,,,,,,
,2015,Art in America: A Complete Survey,"CAHILL, Holger & Alfred H. Barr (editors)",438,art,,,,,,
,2015,Machine Art,Philip Johnson,439,architecture,,,,,,
,2015,Painting And Sculpture In The Museum Of Modern Art,"Barr, Alfred H., Jr., Editor",440,art,,,,,,
,2015,Picasso: Forty Years Of His Art,Alfred H. Barr Jr.,441,art,,,,,,
,2015,Modern Prints & Drawings. A guide to a better understanding of modern draughtsmanship. Selected and with an explanatory text by Paul J. Sachs. Preface,"Sachs, Paul J. (Paul Joseph)",442,art,,,,,,
,2015,Languages of Vision,Gyorgy Kepes,443,academic,technology,vision,,,,
,2015,The Library at Night,"Manguel, Alberto",444,books,,,,,,
,2015,Autobiography: A Reader for Writers,"Lyons, Robert",445,teaching,writing,,,,,
,2015,Bridges: Readings for writers,"Gorrell, Donna",446,teaching,writing,,,,,
,2015,Questioning Technology: A Critical Anthology,"Carnes, Alice",447,academic,technology,,,,,
,2015,The Anti-rationalists,"Pevsner, Nikolaus",448,architecture,,,,,,
,2015,Selected Letters (Belknap Press),"Dickinson, Emily",449,poetry,,,,,,
,2015,Industrial Art in England,Nikolaus Pevsner,450,architecture,,,,,,
,2015,Lexikon der Weltarchitektur,"Pevsner, Nikolaus, et al., Eds",451,architecture,,,,,,
,2015,"Matisse, His Art and his Public","Barr Jr., Alfred H.",452,art,,,,,,
,2015,Paul Klee,"[Klee, Paul] Museum of Modern Art, New York; Miller, Margaret (editor); Bar",453,art,,,,,,
,2015,Where Is Everybody?,Remy Charlip,454,childrens,,,,,,
,2015,"Walter Gropius, work and teamwork","Giedion, S",455,architecture,,,,,,
,2015,"Space, Time and Architecture: The Growth of a New Tradition","Giedion, Sigfried",456,architecture,,,,,,
,2015,Easy Growth In Reading - Enchanting Stories - Third Reader Level Two,Gertrude Hildreth,457,childrens,,,,,,
,2015,Midnight: Wild Stallion of the West,Rutherford George Montgomery,458,childrens,,,,,,
,2015,"The Story Road: Easy Growth in Reading Second Reader Level Two (Easy Growth In Reading, Second Reader Level Two)","Hildreth, Gertrude",459,childrens,,,,,,
,2015,"The illustrated encyclopedia of American birds,",Leon Augustus Hausman,460,science,birds,,,,,
,2015,Writing With A Purpose Ap Version 14th Edition,Trimmer,461,teaching,,,,,,
,2015,Why Things Bite Back: Technology and the Revenge of Unintended Consequences,"Tenner, Edward",462,academic,technology,,,,,
,2015,Sight,"Hejinian, Lyn",463,poetry,,,,,,
,2015,Errata 5uite,"Retallack, Joan",464,poetry,,,,,,
,2015,"Scripts, Grooves, and Writing Machines: Representing Technology in the Edison Era","Gitelman, Lisa",465,academic,technology,media,,,,
,2015,The Technological Society,"Ellul, J",466,academic,technology,,,,,
,2015,The Myth of the Machine: Technics and Human Development,Lewis Mumford,467,architecture,,,,,,
,2015,The Highway and the City,Lewis Mumford,468,architecture,,,,,,
,2015,Technics and Civilization,"Mumford, Lewis",469,architecture,,,,,,
,2015,Rivers of Time: Photographs by Freya Stark,Freya Stark,470,travel,,,,,,
,2015,England Under the Tudors Third Edition,"Elton, G.R.",471,academic,history,,,,,
,2015,Animal Babies,Margaret Jean Bauer,472,childrens,,,,,,
,2015,I Wonder Why (Understanding Science),Thomas Irving Dowling,473,childrens,,,,,,
,2015,I Know a Secret (Easy Growth in Readings: First Reader Level One),"Hildreth, Gertrude with Allie Lou Felton, Mabel J. Henderson, & AliceMeighe",474,childrens,,,,,,
,2015,Easy Growth in Reading The Story Road,Gertrude Hildreth,475,childrens,,,,,,
,2015,All About Horses,Marguerite Henry,476,childrens,,,,,,
,2015,Seeds : The Yearbook of Agriculture 1961,"Usda,",477,science,agriculture,,,,,
,2015,SOIL The Yearbook of Agriculture 1957,The United States Department Of Agriculture,478,science,agriculture,,,,,
,2015,The wind's twelve quarters: Short stories,"Le Guin, Ursula K",479,science fiction,,,,,,
,2015,"Approaches to Teaching Non-Native English Speakers Across the Curriculum: New Directions for Teaching and Learning, Number 70 (J-B TL Single Issue Tea","Sigsbee, David L.",480,teaching,,,,,,
,2015,Alexander's Path - From Caria To Cilicia,"Stark, Freya",481,travel,,,,,,
,2015,To Write Like a Woman: Essays in Feminism and Science Fiction,"Russ, Joanna",482,science fiction,,,,,,
,2015,ON STRIKE AGAINST GOD,JOANNA RUSS,483,science fiction,,,,,,
,2015,Picnic on Paradise (Ace science fiction special H-72),,484,science fiction,,,,,,
,2015,"And Chaos Died (Ace SF Specials, 02266)",Joanna Russ,485,science fiction,,,,,,
,2015,Philosophers on Art from Kant to the Postmodernists: A Critical Reader,"Kul-Want, Christopher",486,academic,philosophy,aesthetics,,,,
,2015,Female Man,"Russ, Joanna",487,science fiction,,,,,,
,2015,The Modern Parisienne,"Uzanne, Octave",488,books,,,,,,
,2015,CONSUMER'S ALL: THE YEARBOOK OF AGRICULTURE,USDA,489,science,agriculture,,,,,
,2015,Yearbook 1912,United States Department Of Agriculture,490,science,agriculture,,,,,
,2015,Seeds : The Yearbook of Agriculture 1961,"Usda,",491,science,agriculture,,,,,
,2015,Crops in Peace and War,united states dept of agriculture,492,science,agriculture,,,,,
,2015,Trees - The Yearbook of Agriculture 1949,Unknown,493,science,agriculture,,,,,
,2015,Living on a Few Acres (Yearbook of Agriculture 1978),,494,science,agriculture,,,,,
,2015,Food For Us All The Yearbook of Agriculture 1969,United States Government Printing Office,495,science,agriculture,,,,,
,2015,Protecting Our Food - The Yearbook of Agriculture 1966,USDA,496,science,agriculture,,,,,
,2015,"The Yearbook of Agriculture 1969, Food for Us All",,497,science,agriculture,,,,,
,2015,"Water: The Yearbook of Agriculture, 1955.","Stefferud, Alfred (editor)",498,science,agriculture,,,,,
,2015,Food From Farm to Table (1982 Yearbook of Agriculture),U.S. Department of Agriculture,499,science,agriculture,,,,,
,2015,The Art of Home Landscaping,"eckbo, garrett",500,architecture,,,,,,
,2015,"Fernhurst, Q.E.D., and other early writings","Stein, Gertrude",501,fiction,,,,,,
,2015,1450-1950,"Brown, Bob",502,cookbook,,,,,,
,2015,The Last Face: Emily Dickinson's Manuscripts,"Wylder, Edith",503,poetry,,,,,,
,2015,Bolts of Melody: New Poems of Emily Dickinson,"Dickinson, Emily",504,poetry,,,,,,
,2015,The Complete Poems of Emily Dickinson,Thomas H. Johnson,505,poetry,,,,,,
,2015,Emily Dickinson- Love Poems,Emily Dickinson,506,poetry,,,,,,
,2015,Poems by Emily Dickinson,"Dickinson, Emily",507,poetry,,,,,,
,2015,The Real World of Technology (CBC Massey Lectures series) Revised Edition,"Franklin, Ursula M.",508,science,,,,,,
,2015,A Distinguished Provincial at Paris Volume Nine 9 (Honore De Balzac in Twenty-Five Volumes The First Complete Translation into English),Balzac,509,fiction,,,,,,
,2015,"The South American Cook Book: Including Central America, Mexico, and the West Indies","Brown, Cora Lovisa",510,cookbook,,,,,,
,2015,"10,000 Snacks A Cookbook","Brown, Cora, Rose, & Bob",511,cookbook,,,,,,
,2015,Look Before You Cook - A Consumers Kitchen Guide,Rose Brown,512,cookbook,,,,,,
,2015,Les Surprises Du Coeur,"Uzanne, Octave",513,books,,,,,,
,2015,Madame Bovary (The French Classical Romances),Gustave Flaubert,514,fiction,,,,,,
,2015,Nos Amis les Livres Causeries sur la Litterature Curieuse et la Librairie,"Uzanne, Octave",515,books,,,,,,
,2015,Droll Stories (Contes Drolatiques),Honore de Balzac,516,fiction,,,,,,
,2015,The Question Book for Young Folks,Sylvia Weil,517,childrens,,,,,,
,2015,The Rhetorical Reader,"Porter, Ebenezer",518,teaching,rhetoric,,,,,Rhetoric used by Emily Dickinson
,2015,Landscape for Living,"Eckbo, Garrett",519,architecture,,,,,,
,2015,Mainstreams of Modern Art,"Canaday, John",520,art,,,,,,
,2015,The Lives of the Painters,"Canaday, John",521,art,,,,,,
,2015,At Their Word Volume 2 (v. 2),"Corman, Cid",522,poetry,,,,,,
,2015,Word for Word. Essays on the Arts of Language. Volume 1,"Corman, Cid",523,poetry,,,,,,
,2015,The Yearbook of Agriculture 1968 (Science for Better Living),United States Department Of Agriculture,524,science,agriculture,,,,,
,2015,What happened to Mary,Robert Carlton Brown,525,children,,,,,,
,2015,"Most for your money cookbook,","Brown, Cora",526,cookbook,,,,,,
,2015,Outdoor Cooking,"The Browns, Cora, Rose & Bob",527,cookbook,,,,,,
,2015,The Country Cookbook,Cora Brown,528,cookbook,,,,,,
,2015,The vegetable cook book;: From trowel to table,"Brown, Cora Lovisa Brackett",529,cookbook,,,,,,
,2015,The Life of the Automobile,"Erenburg, Ilia",530,science,technology,automobile,,,,
,2015,Metropolitan Seminars In Art - Portfolio 1 - What is painting?,JOHN EDWIN CANADAY,531,art,,,,,,
,2015,Steele's Popular Zoology,J. Dorman Steele,532,science,zoology,,,,,
,2015,A Brief History of the United States Barnes's Historical Series,"Steele, Joel Dorman, And Esther Baker Steele",533,history,U.S.,,,,,
,2015,Fourteen Weeks in Human Physiology,"Steele, J. Dorman",534,science,physiology,,,,,
,2015,Richard Steele; (The Mermaid series. The best plays of the old dramatists),"Steele, Richard",535,essays,,,,,,
,2015,The Chautauqua Course In Physics,"Steele, J. Dorman",536,science,physics,,,,,
,2015,English Humorists of the Eighteenth (18th) Century Steele Addison Sterne Goldsmith (English Comedie Humaine Second Series),Sir Richard Steele,537,essays,,,,,,
,2015,"Perilous Adventures By Land and Sea in Europe, Asia, Africa, and America",,538,travel,,,,,https://books.google.com/books/about/Perilous_Adventures_by_Land_and_Sea_in_E.html?id=xJsfvgEACAAJ,
,2015,Scandinavian design,Ulf Hard af Segerstad,539,art,design,Scandinavia,,,,
,2015,Democratic Eloquence: The Fight for Popular Speech in Nineteenth-Century America,"Cmiel, Kenneth",540,academic,history,rhetoric,,,,
,2015,Unwelcome Words,"Bowles, Paul",541,fiction,,,,,,
,2015,Was That a Real Poem and Other Essays,"Creeley, Robert",542,poetry,,,,,,
,2015,This Eating and Walking at the Same Time Is Associated Alright,"Scalapino, Leslie",543,poetry,,,,,,
,2015,Writing from Observation,"HANAWALT, Leslie L., and Emilie A. Newcomb, Editors",544,teaching,writing,,,,,
,2015,"Image & Code (Michigan Studies in the Humanities, 2)",ed. by W. Steiner,545,academic,literary theory,linguistics,Michigan,1981,https://books.google.com/books?id=r9MYAAAAYAAJ&q=image+and+code+michigan&dq=image+and+code+michigan&hl=en&newbks=1&newbks_redir=0&ppis=_e&sa=X&ved=2ahUKEwjP7rTdxfznAhWJgnIEHSKwAbgQ6AEwAHoECAMQAg,Jakobson
,2015,(Inter)views: Cross-Disciplinary Perspectives on Rhetoric and Literacy,"Olson, Gary A.",546,academic,rhetoric,,,,,
,2015,Applied Grammatology: Post(e)-Pedagogy from Jacques Derrida to Joseph Beuys,"Ulmer, Professor Gregory L.",547,academic,literary theory,,,,,
,2015,TELETHEORY Grammatology in the Age of Video,"Ulmer, Gregory",548,academic,literary theory,,,,,
,2015,Yester-Year: Ten Centuries of Toilette From the French of A. Robida,A. Robida,549,illustrated,fashion,French,,,,
,2015,The Code-Breakers: The Story of Secret Writing,"Kahn, David",550,science,cryptography,,sold,,,
,2015,"Moby Dick; or, The Whale","Melville, Herman",551,fiction,American,19th c.,,,,
,2015,The New Nature Library [Complete in Eight Volumes. 8 Vol. Set],"Blanchan, Burroughs, Holland, Rogers, Marshall, Stone, Cram, Jordan, Everma",552,science,reference,nature,,,,
,2015,"Futurism, A Modern Focus, The Lydia and Harry Lewis Winston Collection","MALBIN, Dr. and Mrs. Barnett",553,art,painting,,Guggenheim,1973,https://books.google.com/books?id=X1tTAAAAMAAJ&q=futurism+malbin&dq=futurism+malbin&hl=en&newbks=1&newbks_redir=0&ppis=_e&sa=X&ved=2ahUKEwi7zebnxPznAhUQGuwKHSkmA9IQ6AEwAHoECAAQAg,
,2015,A Century for the Century: Fine Printed Books from 1900 to 1999,Martin Hutner,554,book history,,,,,,
,2015,All. The Collected Short Poems 1923-1958,"Zukofsky, Louis.",555,poetry,,,,,,
,2015,Autobiography,"Zukofsky, Louis",556,poetry,,,,,,
,2015,Prepositions;: The collected critical essays of Louis Zukofsky,"Zukofsky, Louis",557,poetry,,,,,,
